asset,type,capacity,capacity_storage_energy,is_seasonal,consumer_balance_sense,discount_rate,economic_lifetime,energy_to_power_ratio,group,investment_integer,investment_integer_storage_energy,investment_method,max_ramp_down,max_ramp_up,min_operating_point,ramping,storage_method_energy,technical_lifetime,unit_commitment,unit_commitment_integer,unit_commitment_method,use_binary_storage_method
NL_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
BE_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
DE_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
FR_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
DK_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
UK_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
IE_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
CH_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
AT_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
LU_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
CZ_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
PL_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
SE_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
NO_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
ES_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
PT_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
IT_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
MT_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
SI_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
HU_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
SK_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
LT_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
LV_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
EE_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
FI_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
HR_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
GR_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
BG_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
RO_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
CY_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
OBZLL_E_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
NL_H_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
BE_H_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
DE_H_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
FR_H_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
DK_H_Demand,consumer,0.0,0,false,,0.0,1,0.0,,false,false,none,,,0.0,false,false,1,false,false,,
