asset,type,technology,lat,lon
NL_E_Demand,consumer,Demand,52.1326,5.2913
BE_E_Demand,consumer,Demand,50.8503,4.3517
DE_E_Demand,consumer,Demand,51.1657,10.4515
FR_E_Demand,consumer,Demand,46.6034,1.8883
DK_E_Demand,consumer,Demand,56.2639,9.5018
UK_E_Demand,consumer,Demand,55.3781,-3.436
IE_E_Demand,consumer,Demand,53.1424,-7.6921
CH_E_Demand,consumer,Demand,46.8182,8.2275
AT_E_Demand,consumer,Demand,47.5162,14.5501
LU_E_Demand,consumer,Demand,49.8153,6.1296
CZ_E_Demand,consumer,Demand,49.8175,15.473
PL_E_Demand,consumer,Demand,51.9194,19.1451
SE_E_Demand,consumer,Demand,60.1282,18.6435
NO_E_Demand,consumer,Demand,60.472,8.4689
ES_E_Demand,consumer,Demand,40.4637,-3.7492
PT_E_Demand,consumer,Demand,39.3999,-8.2245
IT_E_Demand,consumer,Demand,41.8719,12.5674
MT_E_Demand,consumer,Demand,35.9375,14.3754
SI_E_Demand,consumer,Demand,46.1512,14.9955
HU_E_Demand,consumer,Demand,47.1625,19.5033
SK_E_Demand,consumer,Demand,48.669,19.699
LT_E_Demand,consumer,Demand,55.1694,23.8813
LV_E_Demand,consumer,Demand,56.8796,24.6032
EE_E_Demand,consumer,Demand,58.5953,25.0136
FI_E_Demand,consumer,Demand,61.9241,25.7482
HR_E_Demand,consumer,Demand,45.1,15.2
GR_E_Demand,consumer,Demand,39.0742,21.8243
BG_E_Demand,consumer,Demand,42.7339,25.4858
RO_E_Demand,consumer,Demand,45.9432,24.9668
CY_E_Demand,consumer,Demand,35.1264,33.4299
OBZLL_E_Demand,consumer,Demand,53.1705,3.5288
NL_H_Demand,consumer,Demand,52.1326,5.2913
BE_H_Demand,consumer,Demand,50.8503,4.3517
DE_H_Demand,consumer,Demand,51.1657,10.4515
FR_H_Demand,consumer,Demand,46.6034,1.8883
DK_H_Demand,consumer,Demand,56.2639,9.5018
UK_H_Demand,consumer,Demand,55.3781,-3.436
IE_H_Demand,consumer,Demand,53.1424,-7.6921
CH_H_Demand,consumer,Demand,46.8182,8.2275
AT_H_Demand,consumer,Demand,47.5162,14.5501
LU_H_Demand,consumer,Demand,49.8153,6.1296
CZ_H_Demand,consumer,Demand,49.8175,15.473
PL_H_Demand,consumer,Demand,51.9194,19.1451
SE_H_Demand,consumer,Demand,60.1282,18.6435
NO_H_Demand,consumer,Demand,60.472,8.4689
ES_H_Demand,consumer,Demand,40.4637,-3.7492
PT_H_Demand,consumer,Demand,39.3999,-8.2245
IT_H_Demand,consumer,Demand,41.8719,12.5674
MT_H_Demand,consumer,Demand,35.9375,14.3754
SI_H_Demand,consumer,Demand,46.1512,14.9955
HU_H_Demand,consumer,Demand,47.1625,19.5033
SK_H_Demand,consumer,Demand,48.669,19.699
LT_H_Demand,consumer,Demand,55.1694,23.8813
LV_H_Demand,consumer,Demand,56.8796,24.6032
EE_H_Demand,consumer,Demand,58.5953,25.0136
FI_H_Demand,consumer,Demand,61.9241,25.7482
HR_H_Demand,consumer,Demand,45.1,15.2
GR_H_Demand,consumer,Demand,39.0742,21.8243
BG_H_Demand,consumer,Demand,42.7339,25.4858
RO_H_Demand,consumer,Demand,45.9432,24.9668
CY_H_Demand,consumer,Demand,35.1264,33.4299
OBZLL_H_Demand,consumer,Demand,53.1705,3.5288
NL_electrolyzer,conversion,electrolyzer,52.1326,5.2913
BE_electrolyzer,conversion,electrolyzer,50.8503,4.3517
DE_electrolyzer,conversion,electrolyzer,51.1657,10.4515
FR_electrolyzer,conversion,electrolyzer,46.6034,1.8883
DK_electrolyzer,conversion,electrolyzer,56.2639,9.5018
UK_electrolyzer,conversion,electrolyzer,55.3781,-3.436
IE_electrolyzer,conversion,electrolyzer,53.1424,-7.6921
CH_electrolyzer,conversion,electrolyzer,46.8182,8.2275
AT_electrolyzer,conversion,electrolyzer,47.5162,14.5501
LU_electrolyzer,conversion,electrolyzer,49.8153,6.1296
CZ_electrolyzer,conversion,electrolyzer,49.8175,15.473
PL_electrolyzer,conversion,electrolyzer,51.9194,19.1451
SE_electrolyzer,conversion,electrolyzer,60.1282,18.6435
NO_electrolyzer,conversion,electrolyzer,60.472,8.4689
ES_electrolyzer,conversion,electrolyzer,40.4637,-3.7492
PT_electrolyzer,conversion,electrolyzer,39.3999,-8.2245
IT_electrolyzer,conversion,electrolyzer,41.8719,12.5674
MT_electrolyzer,conversion,electrolyzer,35.9375,14.3754
SI_electrolyzer,conversion,electrolyzer,46.1512,14.9955
HU_electrolyzer,conversion,electrolyzer,47.1625,19.5033
SK_electrolyzer,conversion,electrolyzer,48.669,19.699
LT_electrolyzer,conversion,electrolyzer,55.1694,23.8813
LV_electrolyzer,conversion,electrolyzer,56.8796,24.6032
EE_electrolyzer,conversion,electrolyzer,58.5953,25.0136
FI_electrolyzer,conversion,electrolyzer,61.9241,25.7482
HR_electrolyzer,conversion,electrolyzer,45.1,15.2
GR_electrolyzer,conversion,electrolyzer,39.0742,21.8243
BG_electrolyzer,conversion,electrolyzer,42.7339,25.4858
RO_electrolyzer,conversion,electrolyzer,45.9432,24.9668
CY_electrolyzer,conversion,electrolyzer,35.1264,33.4299
OBZLL_electrolyzer,conversion,electrolyzer,53.1705,3.5288
NL_E_Balance,hub,Balance,52.1326,5.2913
BE_E_Balance,hub,Balance,50.8503,4.3517
DE_E_Balance,hub,Balance,51.1657,10.4515
FR_E_Balance,hub,Balance,46.6034,1.8883
DK_E_Balance,hub,Balance,56.2639,9.5018
UK_E_Balance,hub,Balance,55.3781,-3.436
IE_E_Balance,hub,Balance,53.1424,-7.6921
CH_E_Balance,hub,Balance,46.8182,8.2275
AT_E_Balance,hub,Balance,47.5162,14.5501
LU_E_Balance,hub,Balance,49.8153,6.1296
CZ_E_Balance,hub,Balance,49.8175,15.473
PL_E_Balance,hub,Balance,51.9194,19.1451
SE_E_Balance,hub,Balance,60.1282,18.6435
NO_E_Balance,hub,Balance,60.472,8.4689
ES_E_Balance,hub,Balance,40.4637,-3.7492
PT_E_Balance,hub,Balance,39.3999,-8.2245
IT_E_Balance,hub,Balance,41.8719,12.5674
MT_E_Balance,hub,Balance,35.9375,14.3754
SI_E_Balance,hub,Balance,46.1512,14.9955
HU_E_Balance,hub,Balance,47.1625,19.5033
SK_E_Balance,hub,Balance,48.669,19.699
LT_E_Balance,hub,Balance,55.1694,23.8813
LV_E_Balance,hub,Balance,56.8796,24.6032
EE_E_Balance,hub,Balance,58.5953,25.0136
FI_E_Balance,hub,Balance,61.9241,25.7482
HR_E_Balance,hub,Balance,45.1,15.2
GR_E_Balance,hub,Balance,39.0742,21.8243
BG_E_Balance,hub,Balance,42.7339,25.4858
RO_E_Balance,hub,Balance,45.9432,24.9668
CY_E_Balance,hub,Balance,35.1264,33.4299
OBZLL_E_Balance,hub,Balance,53.1705,3.5288
NL_E_ENS,producer,ENS,52.1326,5.2913
NL_Wind_Onshore,producer,Wind_Onshore,52.1326,5.2913
NL_Wind_Offshore,producer,Wind_Offshore,52.1326,5.2913
NL_Solar,producer,Solar,52.1326,5.2913
NL_Gas,producer,Gas,52.1326,5.2913
NL_OCGT,producer,Gas,52.1326,5.2913
BE_E_ENS,producer,ENS,50.8503,4.3517
BE_Wind_Onshore,producer,Wind_Onshore,50.8503,4.3517
BE_Wind_Offshore,producer,Wind_Offshore,50.8503,4.3517
BE_Solar,producer,Solar,50.8503,4.3517
BE_Hydro,producer,Hydro,50.8503,4.3517
BE_Gas,producer,Gas,50.8503,4.3517
BE_OCGT,producer,Gas,50.8503,4.3517
DE_E_ENS,producer,ENS,51.1657,10.4515
DE_Wind_Onshore,producer,Wind_Onshore,51.1657,10.4515
DE_Wind_Offshore,producer,Wind_Offshore,51.1657,10.4515
DE_Solar,producer,Solar,51.1657,10.4515
DE_Hydro,producer,Hydro,51.1657,10.4515
DE_Coal,producer,Coal,51.1657,10.4515
DE_Gas,producer,Gas,51.1657,10.4515
DE_OCGT,producer,Gas,51.1657,10.4515
FR_E_ENS,producer,ENS,46.6034,1.8883
FR_Wind_Onshore,producer,Wind_Onshore,46.6034,1.8883
FR_Wind_Offshore,producer,Wind_Offshore,46.6034,1.8883
FR_Solar,producer,Solar,46.6034,1.8883
FR_Hydro,producer,Hydro,46.6034,1.8883
FR_Nuclear,producer,Nuclear,46.6034,1.8883
FR_Gas,producer,Gas,46.6034,1.8883
FR_OCGT,producer,Gas,46.6034,1.8883
DK_E_ENS,producer,ENS,56.2639,9.5018
DK_Wind_Onshore,producer,Wind_Onshore,56.2639,9.5018
DK_Wind_Offshore,producer,Wind_Offshore,56.2639,9.5018
DK_Solar,producer,Solar,56.2639,9.5018
DK_Gas,producer,Gas,56.2639,9.5018
DK_OCGT,producer,Gas,56.2639,9.5018
UK_E_ENS,producer,ENS,55.3781,-3.436
UK_Wind_Onshore,producer,Wind_Onshore,55.3781,-3.436
UK_Wind_Offshore,producer,Wind_Offshore,55.3781,-3.436
UK_Solar,producer,Solar,55.3781,-3.436
UK_Hydro,producer,Hydro,55.3781,-3.436
UK_Nuclear,producer,Nuclear,55.3781,-3.436
UK_Gas,producer,Gas,55.3781,-3.436
UK_OCGT,producer,Gas,55.3781,-3.436
IE_E_ENS,producer,ENS,53.1424,-7.6921
IE_Wind_Onshore,producer,Wind_Onshore,53.1424,-7.6921
IE_Wind_Offshore,producer,Wind_Offshore,53.1424,-7.6921
IE_Solar,producer,Solar,53.1424,-7.6921
IE_Hydro,producer,Hydro,53.1424,-7.6921
IE_Gas,producer,Gas,53.1424,-7.6921
IE_OCGT,producer,Gas,53.1424,-7.6921
CH_E_ENS,producer,ENS,46.8182,8.2275
CH_Wind_Onshore,producer,Wind_Onshore,46.8182,8.2275
CH_Solar,producer,Solar,46.8182,8.2275
CH_Hydro,producer,Hydro,46.8182,8.2275
CH_Nuclear,producer,Nuclear,46.8182,8.2275
AT_E_ENS,producer,ENS,47.5162,14.5501
AT_Wind_Onshore,producer,Wind_Onshore,47.5162,14.5501
AT_Solar,producer,Solar,47.5162,14.5501
AT_Hydro,producer,Hydro,47.5162,14.5501
AT_Gas,producer,Gas,47.5162,14.5501
LU_E_ENS,producer,ENS,49.8153,6.1296
LU_Wind_Onshore,producer,Wind_Onshore,49.8153,6.1296
LU_Solar,producer,Solar,49.8153,6.1296
LU_Hydro,producer,Hydro,49.8153,6.1296
CZ_E_ENS,producer,ENS,49.8175,15.473
CZ_Wind_Onshore,producer,Wind_Onshore,49.8175,15.473
CZ_Solar,producer,Solar,49.8175,15.473
CZ_Hydro,producer,Hydro,49.8175,15.473
CZ_Nuclear,producer,Nuclear,49.8175,15.473
CZ_Coal,producer,Coal,49.8175,15.473
CZ_Gas,producer,Gas,49.8175,15.473
PL_E_ENS,producer,ENS,51.9194,19.1451
PL_Wind_Onshore,producer,Wind_Onshore,51.9194,19.1451
PL_Wind_Offshore,producer,Wind_Offshore,51.9194,19.1451
PL_Solar,producer,Solar,51.9194,19.1451
PL_Hydro,producer,Hydro,51.9194,19.1451
PL_Coal,producer,Coal,51.9194,19.1451
PL_Gas,producer,Gas,51.9194,19.1451
SE_E_ENS,producer,ENS,60.1282,18.6435
SE_Wind_Onshore,producer,Wind_Onshore,60.1282,18.6435
SE_Wind_Offshore,producer,Wind_Offshore,60.1282,18.6435
SE_Solar,producer,Solar,60.1282,18.6435
SE_Nuclear,producer,Nuclear,60.1282,18.6435
SE_Gas,producer,Gas,60.1282,18.6435
SE_OCGT,producer,Gas,60.1282,18.6435
NO_E_ENS,producer,ENS,60.472,8.4689
NO_Wind_Onshore,producer,Wind_Onshore,60.472,8.4689
NO_Wind_Offshore,producer,Wind_Offshore,60.472,8.4689
NO_Solar,producer,Solar,60.472,8.4689
ES_E_ENS,producer,ENS,40.4637,-3.7492
ES_Wind_Onshore,producer,Wind_Onshore,40.4637,-3.7492
ES_Wind_Offshore,producer,Wind_Offshore,40.4637,-3.7492
ES_Solar,producer,Solar,40.4637,-3.7492
ES_Hydro,producer,Hydro,40.4637,-3.7492
ES_Nuclear,producer,Nuclear,40.4637,-3.7492
ES_Gas,producer,Gas,40.4637,-3.7492
PT_E_ENS,producer,ENS,39.3999,-8.2245
PT_Wind_Onshore,producer,Wind_Onshore,39.3999,-8.2245
PT_Wind_Offshore,producer,Wind_Offshore,39.3999,-8.2245
PT_Solar,producer,Solar,39.3999,-8.2245
PT_Hydro,producer,Hydro,39.3999,-8.2245
PT_Gas,producer,Gas,39.3999,-8.2245
IT_E_ENS,producer,ENS,41.8719,12.5674
IT_Wind_Onshore,producer,Wind_Onshore,41.8719,12.5674
IT_Wind_Offshore,producer,Wind_Offshore,41.8719,12.5674
IT_Solar,producer,Solar,41.8719,12.5674
IT_Hydro,producer,Hydro,41.8719,12.5674
IT_Gas,producer,Gas,41.8719,12.5674
IT_OCGT,producer,Gas,41.8719,12.5674
